/* DATA DESCRIPTION:
Citation:	Channell, James E T; Hodell, David A; Xuang, Chuang; Mazaud, Alain; Stoner, Joseph S (2008): Susceptibility of IODP Site 303-U1308 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.808946, 
	In supplement to: Channell, JET et al. (2008): Age calibrated relative paleointensity for the last 1.5 Myr from IODP Site U1308 (North Atlantic). Earth and Planetary Science Letters, 274, 59-71, https://doi.org/10.1016/j.epsl.2008.07.005
Related to:	Channell, James E T; Hodell, David A (2013): Magnetic signatures of Heinrich-like detrital layers in the Quaternary of the North Atlantic. Earth and Planetary Science Letters, 369-370, 260-270, https://doi.org/10.1016/j.epsl.2013.03.034
	Channell, James E T; Hodell, David A; Romero, Oscar E; Hillaire-Marcel, Claude; de Vernal, Anne; Stoner, Joseph S; Mazaud, Alain; Röhl, Ursula (2012): A 750-kyr detrital-layer stratigraphy for the North Atlantic (IODP Sites U1302–U1303, Orphan Knoll, Labrador Sea). Earth and Planetary Science Letters, 317-318, 218-230, https://doi.org/10.1016/j.epsl.2011.11.029
	Hodell, David A; Channell, James E T; Curtis, Jason H; Romero, Oscar E; Röhl, Ursula (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Project(s):	Integrated Ocean Drilling Program / International Ocean Discovery Program (IODP) (URI: https://www.iodp.org/)
Coverage:	LATITUDE: 49.877760 * LONGITUDE: -24.238110
	DATE/TIME START: 2004-10-30T00:00:00 * DATE/TIME END: 2004-10-30T00:00:00
	MINIMUM ELEVATION: -3871.0 m * MAXIMUM ELEVATION: -3871.0 m
Event(s):	303-U1308 * LATITUDE: 49.877760 * LONGITUDE: -24.238110 * DATE/TIME: 2004-10-30T00:00:00 * ELEVATION: -3871.0 m * PENETRATION: 1253.5 m * RECOVERY: 1246 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Exp303 (North Atlantic Climate 1) * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 134 cores; 1246.0 m cored; 7.5 m drilled; 95.4 % recovery
Parameter(s):	Depth, composite [mcd] (Depth comp) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html) * METHOD/DEVICE: Intercore correlation
	Magnetic susceptibility, volume [10**-6 SI] (kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
	ARM Susceptibility/susceptibility ratio [A/m] (ARM/kappa) * PI: Channell, James E T (https://orcid.org/0000-0003-2382-3985, jetc@ufl.edu, http://www.geology.ufl.edu/Channell/index.html)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	32289 data points
*/
Depth comp [mcd]	kappa [10**-6 SI]	ARM/kappa [A/m]
84.55	320.3	2.920
84.56	319.4	2.924
84.57	315.0	2.962
84.58	304.6	3.057
84.59	298.7	3.104
84.60	301.0	3.064
84.61	300.0	3.060
84.62	297.2	3.075
84.63	294.5	3.089
84.64	291.1	3.109
84.65	287.4	3.129
84.66	283.5	3.147
84.67	281.0	3.139
84.68	278.5	3.117
84.69	273.3	3.091
84.70	264.6	3.051
84.76	255.6	2.574
84.77	270.8	2.785
84.78	278.0	2.949
84.79	278.7	3.097
84.80	278.8	3.181
84.81	279.8	3.215
84.82	281.6	3.218
84.83	284.2	3.198
84.84	287.7	3.162
84.85	287.8	3.158
84.86	286.2	3.168
84.87	286.4	3.159
84.88	291.8	3.106
84.89	298.9	3.052
84.90	302.6	3.046
84.91	306.2	3.048
84.92	317.0	2.989
84.93	326.9	2.948
84.94	333.0	2.940
84.95	341.7	2.902
84.96	352.8	2.838
84.97	357.1	2.815
84.98	350.3	2.860
84.99	334.6	2.969
85.00	325.8	3.030
85.01	328.3	3.022
85.02	344.9	2.927
85.03	370.8	2.787
85.04	388.5	2.726
85.05	398.6	2.704
85.06	396.3	2.749
85.07	383.1	2.854
85.08	386.1	2.848
85.09	411.7	2.721
85.10	431.5	2.672
85.11	443.6	2.675
85.12	454.0	2.674
85.13	462.0	2.679
85.14	472.1	2.663
85.15	480.0	2.654
85.16	480.6	2.677
85.17	479.0	2.706
85.18	485.0	2.696
85.19	496.9	2.664
85.20	507.4	2.647
85.21	511.6	2.664
85.22	516.4	2.679
85.23	536.6	2.625
85.24	555.3	2.592
85.25	568.6	2.592
85.26	581.2	2.591
85.27	596.8	2.574
85.28	608.9	2.566
85.29	612.6	2.584
85.30	616.9	2.589
85.31	622.4	2.582
85.32	622.7	2.590
85.33	618.6	2.612
85.34	617.1	2.616
85.35	612.9	2.626
85.36	603.5	2.651
85.37	598.8	2.652
85.38	593.6	2.655
85.39	592.1	2.645
85.40	591.4	2.636
85.41	593.3	2.618
85.42	601.6	2.580
85.43	610.2	2.551
85.44	615.5	2.542
85.45	622.9	2.528
85.46	630.0	2.515
85.47	631.3	2.522
85.48	630.4	2.532
85.49	625.4	2.548
85.50	623.8	2.537
85.51	627.1	2.492
85.52	631.1	2.435
85.53	617.9	2.439
85.54	594.8	2.480
85.55	586.1	2.466
85.56	591.0	2.407
85.57	601.1	2.345
85.58	623.2	2.258
85.59	651.1	2.171
85.60	670.7	2.125
85.61	675.8	2.124
85.62	662.9	2.166
85.63	637.9	2.233
85.64	611.6	2.301
85.65	594.4	2.338
85.66	588.6	2.344
85.67	590.3	2.337
85.68	592.8	2.340
85.69	595.7	2.346
85.70	604.8	2.329
85.71	624.5	2.271
85.72	646.7	2.202
85.73	647.7	2.204
85.74	630.2	2.272
85.75	617.1	2.327
85.76	603.3	2.376
85.77	582.8	2.434
85.78	563.1	2.474
85.79	549.2	2.483
85.80	540.9	2.473
85.81	527.4	2.493
85.82	522.9	2.476
85.83	524.0	2.440
85.84	515.9	2.453
85.85	504.6	2.481
85.86	498.0	2.488
85.87	498.4	2.470
85.88	512.8	2.400
85.89	552.8	2.247
85.90	586.9	2.150
85.91	585.0	2.188
85.92	552.9	2.322
85.93	514.9	2.479
85.94	514.1	2.477
85.95	568.0	2.269
85.96	626.4	2.111
85.97	656.1	2.068
85.98	663.2	2.076
85.99	657.4	2.091
86.00	643.0	2.103
86.01	607.6	2.166
86.02	553.6	2.294
86.03	527.8	2.339
86.04	534.1	2.301
86.05	542.6	2.312
86.06	542.0	2.383
86.07	538.0	2.459
86.08	536.0	2.513
86.09	534.6	2.555
86.10	523.3	2.627
86.11	495.2	2.765
86.12	439.3	3.055
86.13	374.0	3.453
86.14	327.4	3.756
86.15	293.2	3.983
86.16	269.8	4.125
86.17	257.5	4.138
86.18	253.1	4.047
86.19	252.5	3.893
86.20	248.7	3.742
86.26	277.6	2.511
86.27	307.4	2.693
86.28	321.4	2.875
86.29	331.6	2.984
86.30	336.4	3.071
86.31	342.1	3.109
86.32	350.8	3.094
86.33	364.0	3.039
86.34	380.5	2.964
86.35	395.7	2.907
86.36	407.8	2.871
86.37	417.3	2.851
86.38	425.9	2.828
86.39	434.6	2.798
86.40	440.0	2.784
86.41	450.2	2.736
86.42	461.1	2.684
86.43	466.1	2.666
86.44	469.2	2.657
86.45	473.0	2.647
86.46	486.2	2.593
86.47	497.9	2.552
86.48	500.7	2.547
86.49	489.8	2.589
86.50	465.3	2.676
86.51	432.9	2.788
86.52	393.7	2.936
86.53	365.2	3.012
86.54	353.0	2.971
86.55	349.4	2.881
86.56	348.0	2.800
86.57	351.5	2.710
86.58	361.1	2.615
86.59	378.3	2.514
86.60	409.9	2.379
86.61	431.2	2.332
86.62	415.4	2.482
86.63	393.4	2.665
86.64	401.4	2.665
86.65	433.0	2.566
86.66	472.0	2.491
86.67	510.1	2.474
86.68	535.2	2.526
86.69	561.0	2.572
86.70	602.8	2.539
86.71	639.1	2.527
86.72	655.9	2.567
86.73	659.3	2.627
86.74	662.7	2.662
86.75	670.8	2.663
86.76	673.3	2.672
86.77	664.1	2.711
86.78	664.8	2.692
86.79	680.3	2.605
86.80	692.1	2.530
86.81	693.3	2.486
86.82	688.3	2.451
86.83	678.7	2.415
86.84	668.8	2.366
86.85	661.4	2.291
86.86	657.2	2.197
86.87	659.3	2.076
86.88	659.2	1.967
86.89	651.6	1.898
86.90	650.4	1.829
86.91	645.2	1.795
86.92	616.2	1.853
86.93	573.2	1.984
86.94	528.5	2.154
86.95	477.5	2.391
86.96	445.4	2.570
86.97	444.4	2.583
86.98	449.7	2.564
86.99	442.9	2.615
87.00	568.2	2.563
87.01	573.2	2.557
87.02	577.4	2.531
87.03	571.1	2.525
87.04	548.3	2.566
87.05	530.0	2.562
87.06	525.4	2.479
87.07	521.4	2.387
87.08	513.4	2.313
87.09	506.9	2.229
87.10	504.4	2.132
87.11	501.1	2.041
87.12	499.5	1.952
87.13	507.4	1.843
87.14	523.4	1.716
87.15	553.1	1.554
87.16	587.0	1.391
87.17	606.1	1.276
87.18	611.9	1.199
87.19	618.5	1.136
87.20	622.0	1.098
87.21	620.0	1.090
87.22	623.7	1.093
87.23	625.5	1.118
87.24	632.4	1.150
87.25	637.1	1.199
87.26	637.6	1.269
87.27	630.5	1.366
87.28	627.8	1.465
87.29	630.8	1.571
87.30	629.0	1.697
87.31	626.7	1.826
87.32	628.1	1.930
87.33	636.6	1.993
87.34	649.1	2.020
87.35	657.4	2.044
87.36	680.6	2.009
87.37	723.8	1.919
87.38	785.2	1.800
87.39	823.1	1.751
87.40	801.6	1.833
87.41	768.3	1.944
87.42	737.0	2.045
87.43	717.8	2.094
87.44	712.8	2.074
87.45	700.9	2.043
87.46	678.6	2.010
87.47	660.8	1.936
87.48	646.5	1.840
87.49	621.8	1.785
87.50	599.8	1.732
87.51	602.3	1.633
87.52	618.7	1.519
87.53	627.8	1.442
87.54	629.5	1.400
87.55	628.7	1.380
87.56	617.6	1.400
87.57	588.6	1.476
87.58	556.9	1.577
87.59	525.6	1.703
87.60	496.6	1.848
87.61	467.3	2.020
87.62	438.5	2.214
87.63	418.3	2.378
87.64	411.2	2.462
87.65	411.1	2.493
87.66	413.9	2.498
87.67	417.3	2.492
87.68	417.3	2.505
87.69	412.4	2.555
87.70	402.1	2.652
87.71	390.4	2.768
87.72	387.8	2.816
87.73	388.6	2.828
87.74	388.0	2.836
87.75	388.0	2.829
87.76	385.0	2.834
87.77	373.6	2.891
87.78	356.5	2.989
87.79	337.9	3.102
87.80	313.0	3.283
87.81	287.9	3.495
87.82	275.4	3.580
87.83	269.1	3.602
87.84	259.9	3.683
87.85	258.6	3.671
87.86	266.8	3.544
87.87	274.2	3.447
87.88	274.2	3.448
87.89	267.0	3.539
87.90	259.4	3.644
87.91	258.4	3.673
87.92	264.5	3.621
87.93	276.6	3.510
87.94	289.5	3.410
87.95	298.6	3.364
87.96	306.1	3.337
87.97	312.8	3.313
87.98	318.5	3.290
87.99	324.9	3.256
88.00	326.2	3.267
88.01	329.1	3.254
88.02	329.9	3.257
88.03	330.3	3.263
88.04	333.0	3.247
88.05	339.9	3.194
88.06	346.8	3.146
88.07	352.4	3.111
88.08	357.4	3.080
88.09	361.3	3.056
88.10	362.2	3.053
88.11	362.3	3.050
88.12	360.8	3.057
88.13	358.9	3.065
88.14	356.9	3.068
88.15	354.8	3.069
88.16	353.6	3.058
88.17	352.1	3.044
88.18	349.3	3.038
88.19	346.7	3.030
88.20	343.6	3.020
88.21	340.1	3.012
88.22	336.7	3.007
88.23	332.0	3.015
88.24	327.3	3.028
88.25	322.5	3.048
88.26	319.2	3.059
88.27	317.8	3.055
88.28	317.6	3.035
88.29	318.7	2.987
88.30	320.9	2.899
88.31	314.7	2.834
88.32	278.2	2.969
88.38	234.9	2.218
88.39	290.3	2.286
88.40	309.4	2.511
88.41	313.3	2.739
88.42	317.6	2.880
88.43	328.6	2.916
88.44	342.6	2.900
88.45	355.9	2.879
88.46	366.0	2.872
88.47	374.7	2.863
88.48	382.8	2.848
88.49	390.4	2.826
88.50	395.0	2.821
88.51	398.4	2.820
88.52	401.8	2.818
88.53	407.7	2.798
88.54	415.8	2.767
88.55	425.0	2.731
88.56	436.7	2.684
88.57	445.5	2.658
88.58	453.1	2.642
88.59	459.6	2.638
88.60	466.0	2.637
88.61	471.1	2.648
88.62	476.7	2.657
88.63	485.6	2.651
88.64	494.4	2.648
88.65	497.5	2.673
88.66	499.2	2.706
88.67	514.5	2.669
88.68	541.0	2.583
88.69	565.6	2.516
88.70	586.6	2.469
88.71	607.4	2.427
88.72	625.1	2.401
88.73	641.8	2.384
88.74	664.3	2.350
88.75	682.6	2.335
88.76	690.5	2.351
88.77	692.1	2.379
88.78	690.9	2.409
88.79	701.5	2.397
88.80	732.5	2.325
88.81	766.1	2.255
88.82	794.7	2.206
88.83	817.6	2.176
88.84	832.6	2.165
88.85	845.2	2.160
88.86	859.6	2.151
88.87	879.8	2.129
88.88	915.0	2.080
88.89	963.1	2.016
88.90	997.9	1.989
88.91	1021.1	1.986
88.92	1049.2	1.972
88.93	1072.6	1.964
88.94	1085.6	1.971
88.95	1099.7	1.974
88.96	1114.4	1.970
88.97	1116.9	1.984
88.98	1119.4	1.997
88.99	1138.4	1.984
89.00	1182.7	1.940
89.01	1239.9	1.892
89.02	1290.1	1.864
89.03	1328.1	1.855
89.04	1349.3	1.862
89.05	1360.0	1.874
89.06	1369.5	1.877
89.07	1373.2	1.879
89.08	1387.4	1.860
89.09	1386.0	1.854
89.10	1333.6	1.908
89.11	1272.6	1.968
89.12	1230.2	2.000
89.13	1219.6	1.987
89.14	1221.9	1.965
89.15	1221.2	1.958
89.16	1223.6	1.954
89.17	1232.3	1.948
89.18	1257.2	1.924
89.19	1288.1	1.896
89.20	1299.0	1.895
89.21	1287.6	1.917
89.22	1264.2	1.945
89.23	1228.1	1.986
89.24	1196.3	2.021
89.25	1198.4	2.010
89.26	1236.7	1.961
89.27	1298.7	1.902
89.28	1358.4	1.864
89.29	1385.0	1.875
89.30	1390.7	1.909
89.31	1391.7	1.941
89.32	1385.6	1.972
89.33	1374.4	1.998
89.34	1361.7	2.012
89.35	1335.0	2.031
89.36	1294.2	2.059
89.37	1276.3	2.045
89.38	1255.3	2.029
89.39	1188.8	2.086
89.40	1139.5	2.113
89.41	1128.4	2.072
89.42	1116.6	2.038
89.43	1073.3	2.060
89.44	1012.1	2.109
89.45	946.7	2.152
89.46	906.6	2.126
89.47	894.4	2.031
89.48	907.6	1.884
89.49	925.6	1.746
89.50	926.0	1.666
89.51	902.0	1.642
89.52	868.1	1.644
89.53	837.6	1.643
89.54	791.3	1.682
89.55	722.0	1.790
89.56	675.3	1.869
89.57	657.8	1.886
89.58	653.0	1.879
89.59	647.1	1.877
89.60	616.7	1.943
89.61	580.8	2.023
89.62	556.0	2.064
89.63	540.3	2.072
89.64	524.8	2.091
89.65	518.5	2.091
89.66	521.3	2.073
89.67	526.9	2.061
89.68	533.6	2.057
89.69	536.9	2.074
89.70	535.7	2.110
89.71	535.5	2.146
89.72	539.6	2.171
89.73	552.1	2.170
89.74	581.8	2.106
89.75	629.3	1.988
89.76	700.6	1.817
89.77	789.4	1.632
89.78	851.6	1.518
89.79	867.4	1.478
89.80	851.2	1.475
89.81	785.9	1.535
89.82	697.4	1.637
89.88	586.7	2.018
89.89	609.1	2.313
89.90	601.2	2.621
89.91	586.6	2.868
89.92	577.8	3.015
89.93	578.1	3.048
89.94	567.6	3.085
89.95	536.9	3.194
89.96	507.7	3.279
89.97	502.0	3.212
89.98	517.6	3.029
89.99	538.0	2.848
90.00	554.0	2.710
90.01	559.3	2.617
90.02	551.0	2.569
90.03	535.2	2.533
90.04	515.7	2.506
90.05	496.5	2.502
90.06	479.5	2.512
90.07	454.4	2.598
90.08	434.7	2.686
90.09	430.2	2.703
90.10	437.3	2.663
90.11	448.2	2.615
90.12	459.2	2.581
90.13	468.8	2.564
90.14	484.1	2.522
90.15	511.9	2.430
90.16	549.6	2.319
90.17	588.2	2.232
90.18	621.1	2.184
90.19	652.5	2.145
90.20	689.1	2.092
90.21	727.1	2.039
90.22	755.7	2.008
90.23	774.3	1.991
90.24	788.6	1.968
90.25	805.4	1.922
90.26	842.6	1.816
90.27	934.7	1.605
90.28	1062.8	1.377
90.29	1067.1	1.333
90.30	952.5	1.452
90.31	889.9	1.514
90.32	890.3	1.480
90.33	909.7	1.425
90.34	917.6	1.400
90.35	923.5	1.385
90.36	937.6	1.366
90.37	931.2	1.383
90.38	891.3	1.451
90.39	832.2	1.557
90.40	770.4	1.683
90.41	711.2	1.828
90.42	671.2	1.947
90.43	650.4	2.021
90.44	636.8	2.071
90.45	612.2	2.149
90.46	580.9	2.249
90.47	567.9	2.277
90.48	572.7	2.230
90.49	558.1	2.247
90.50	515.4	2.364
90.51	473.8	2.472
90.52	444.5	2.512
90.53	437.2	2.427
90.54	421.4	2.403
90.55	379.9	2.554
90.56	354.3	2.656
90.57	356.2	2.600
90.58	363.0	2.542
90.59	356.8	2.591
90.60	353.0	2.625
90.61	357.1	2.599
90.62	365.5	2.545
90.63	378.0	2.468
90.64	393.5	2.387
90.65	408.8	2.320
90.66	416.9	2.302
90.67	410.0	2.362
90.68	395.4	2.460
90.69	398.4	2.443
90.70	404.6	2.407
90.71	393.6	2.473
90.72	373.6	2.594
90.73	351.5	2.733
90.74	336.8	2.821
90.75	332.0	2.832
90.76	331.3	2.819
90.77	326.9	2.841
90.78	317.4	2.905
90.79	307.7	2.964
90.80	300.5	2.991
90.81	294.1	3.004
90.82	287.6	3.010
90.83	278.2	3.035
90.84	260.3	3.143
90.85	233.4	3.374
90.86	208.6	3.610
90.87	189.4	3.803
90.88	187.7	3.697
90.89	196.2	3.452
90.90	187.1	3.567
90.91	169.6	3.889
90.92	164.5	3.970
90.93	167.5	3.884
90.94	166.3	3.918
90.95	162.0	4.024
90.96	159.2	4.080
90.97	158.6	4.072
90.98	158.2	4.057
90.99	156.8	4.076
91.00	159.0	4.002
91.01	163.7	3.883
91.02	163.9	3.878
91.03	161.4	3.936
91.04	157.1	4.039
91.05	151.6	4.178
91.06	146.3	4.327
91.07	143.1	4.429
91.08	146.2	4.366
91.09	153.4	4.225
91.10	162.8	4.077
91.11	174.8	3.913
91.12	188.9	3.752
91.13	201.5	3.649
91.14	212.4	3.589
91.15	224.1	3.524
91.16	236.7	3.470
91.17	253.7	3.371
91.18	273.3	3.271
91.19	291.2	3.207
91.20	313.6	3.116
91.21	343.4	2.988
91.22	375.3	2.868
91.23	403.1	2.794
91.24	421.9	2.770
91.25	431.9	2.786
91.26	435.5	2.825
91.27	447.3	2.806
91.28	462.0	2.772
91.29	471.4	2.768
91.30	488.1	2.712
91.31	510.6	2.603
91.32	531.2	2.461
91.38	554.1	1.999
91.39	575.1	2.210
91.40	566.5	2.432
91.41	552.4	2.617
91.42	560.2	2.643
91.43	564.8	2.645
91.44	543.2	2.728
91.45	507.5	2.848
91.46	464.8	2.994
91.47	419.9	3.162
91.48	386.1	3.269
91.49	359.4	3.341
91.50	338.4	3.386
91.51	324.6	3.387
91.52	309.8	3.414
91.53	294.6	3.458
91.54	279.2	3.511
91.55	262.7	3.593
91.56	247.2	3.674
91.57	234.9	3.727
91.58	225.8	3.767
91.59	224.6	3.707
91.60	226.9	3.624
91.61	227.8	3.582
91.62	226.1	3.587
91.63	222.2	3.639
91.64	222.1	3.647
91.65	226.8	3.599
91.66	256.8	3.501
91.67	278.6	3.354
91.68	300.9	3.190
91.69	310.5	3.160
91.70	309.6	3.226
91.71	309.7	3.279
91.72	313.6	3.278
91.73	321.6	3.230
91.74	334.0	3.142
91.75	346.5	3.060
91.76	355.4	3.010
91.77	362.6	2.971
91.78	377.2	2.878
91.79	407.5	2.699
91.80	448.4	2.505
91.81	489.6	2.364
91.82	541.0	2.217
91.83	592.9	2.107
91.84	652.1	2.006
91.85	717.8	1.921
91.86	762.2	1.910
91.87	787.5	1.936
91.88	801.0	1.977
91.89	805.6	2.021
91.90	790.2	2.095
91.91	745.5	2.232
91.92	681.6	2.427
91.93	625.8	2.601
91.94	576.8	2.752
91.95	529.2	2.900
91.96	505.2	2.927
91.97	486.8	2.930
91.98	465.2	2.963
91.99	447.5	2.991
92.00	437.1	2.981
92.01	439.5	2.894
92.02	454.0	2.747
92.03	477.0	2.578
92.04	513.4	2.372
92.05	566.3	2.135
92.06	632.1	1.906
92.07	693.9	1.736
92.08	712.6	1.691
92.09	689.9	1.745
92.10	648.4	1.852
92.11	595.0	2.013
92.12	559.2	2.135
92.13	546.3	2.178
92.14	544.2	2.175
92.15	565.7	2.076
92.16	602.8	1.928
92.17	635.4	1.810
92.18	662.9	1.715
92.19	691.6	1.627
92.20	709.4	1.572
92.21	708.4	1.565
92.22	685.2	1.617
92.23	663.6	1.683
92.24	667.2	1.708
92.25	679.3	1.724
92.26	693.3	1.736
92.27	720.5	1.702
92.28	775.2	1.594
92.29	846.0	1.454
92.30	918.3	1.321
92.31	1014.8	1.170
92.32	1106.9	1.044
92.33	1104.9	1.006
92.34	1042.2	1.014
92.35	993.2	1.004
92.36	968.9	0.970
92.37	959.6	0.926
92.38	953.7	0.884
92.39	936.3	0.856
92.40	903.4	0.848
92.41	882.4	0.842
92.42	884.6	0.829
92.43	889.8	0.826
92.44	898.4	0.830
92.45	922.7	0.827
92.46	939.4	0.836
92.47	892.4	0.907
92.48	777.3	1.073
92.49	653.9	1.310
92.50	568.1	1.538
92.51	520.9	1.699
92.52	496.6	1.789
92.53	494.6	1.787
92.54	503.9	1.729
92.55	507.7	1.675
92.56	522.3	1.576
92.57	537.2	1.472
92.58	544.0	1.389
92.59	566.6	1.269
92.60	609.6	1.125
92.61	668.3	0.983
92.62	764.3	0.829
92.63	843.6	0.734
92.64	788.3	0.777
92.65	660.2	0.932
92.66	576.1	1.096
92.67	536.0	1.237
92.68	517.7	1.368
92.69	500.9	1.528
92.70	473.1	1.747
92.71	441.7	2.006
92.72	417.6	2.249
92.73	400.0	2.452
92.74	388.1	2.596
92.75	380.1	2.685
92.76	376.4	2.716
92.77	381.2	2.671
92.78	392.5	2.570
92.79	407.2	2.439
92.80	422.6	2.298
92.81	431.9	2.186
92.82	443.4	2.064
92.83	461.3	1.926
92.84	484.1	1.795
92.85	503.2	1.716
92.86	514.6	1.694
92.87	531.8	1.680
92.88	551.5	1.678
92.89	570.5	1.700
92.90	593.0	1.730
92.91	608.7	1.788
92.92	613.4	1.874
92.93	614.6	1.973
92.94	612.8	2.079
92.95	608.7	2.205
92.96	594.3	2.357
92.97	577.3	2.501
92.98	559.4	2.619
92.99	541.0	2.718
93.00	521.8	2.809
93.01	507.8	2.863
93.02	502.5	2.855
93.03	494.3	2.851
93.04	475.8	2.891
93.05	445.8	2.965
93.06	398.1	3.126
93.12	264.6	2.655
93.13	278.0	2.903
93.14	285.7	3.102
93.15	298.9	3.169
93.16	323.2	3.096
93.17	358.0	2.940
93.18	388.3	2.844
93.19	410.1	2.811
93.20	425.8	2.809
93.21	436.6	2.823
93.22	445.7	2.832
93.23	452.4	2.835
93.24	449.8	2.868
93.25	443.0	2.897
93.26	438.5	2.884
93.27	437.7	2.827
93.28	440.8	2.734
93.29	447.4	2.617
93.30	446.9	2.543
93.31	438.1	2.524
93.32	428.1	2.524
93.33	415.2	2.556
93.34	390.9	2.673
93.35	364.5	2.823
93.36	349.5	2.903
93.37	341.9	2.932
93.38	325.5	3.049
93.39	300.6	3.271
93.40	278.0	3.504
93.41	258.2	3.737
93.42	245.2	3.892
93.43	238.1	3.960
93.44	231.5	4.018
93.45	227.2	4.035
93.46	224.0	4.040
93.47	223.4	4.015
93.48	223.3	4.004
93.49	228.3	3.921
93.50	239.0	3.762
93.51	247.1	3.657
93.52	251.8	3.607
93.53	262.0	3.497
93.54	276.3	3.364
93.55	287.1	3.295
93.56	295.3	3.257
93.57	300.8	3.234
93.58	303.2	3.230
93.59	304.6	3.220
93.60	308.3	3.176
93.61	310.6	3.139
93.62	311.0	3.116
93.63	310.2	3.104
93.64	312.4	3.061
93.65	313.5	3.027
93.66	310.6	3.032
93.67	308.3	3.030
93.68	310.2	2.988
93.69	308.1	2.980
93.70	298.2	3.041
93.71	283.9	3.153
93.72	279.0	3.187
93.73	295.4	3.035
93.74	318.3	2.883
93.75	328.8	2.868
93.76	328.8	2.930
93.77	328.1	2.978
93.78	330.4	2.997
93.79	335.7	2.994
93.80	340.5	3.002
93.81	346.0	3.006
93.82	361.2	2.933
93.83	384.7	2.810
93.84	401.8	2.746
93.85	411.7	2.731
93.86	419.3	2.728
93.87	428.5	2.716
93.88	434.3	2.723
93.89	439.4	2.732
93.90	446.9	2.723
93.91	458.6	2.686
93.92	472.4	2.634
93.93	483.5	2.594
93.94	488.6	2.580
93.95	489.3	2.581
93.96	488.5	2.581
93.97	488.1	2.574
93.98	492.1	2.541
93.99	498.0	2.500
94.00	500.4	2.479
94.01	495.4	2.495
94.02	490.1	2.514
94.03	494.4	2.489
94.04	498.2	2.477
94.05	498.1	2.496
94.06	507.1	2.476
94.07	526.6	2.412
94.08	543.7	2.367
94.09	552.5	2.359
94.10	557.3	2.368
94.11	553.2	2.414
94.12	541.2	2.492
94.13	538.1	2.526
94.14	548.5	2.497
94.15	567.3	2.434
94.16	587.0	2.369
94.17	597.2	2.340
94.18	595.1	2.349
94.19	589.0	2.362
94.20	582.3	2.370
94.21	578.1	2.364
94.22	578.8	2.340
94.23	584.1	2.306
94.24	586.0	2.294
94.25	581.6	2.313
94.26	571.6	2.356
94.27	554.6	2.431
94.28	541.5	2.492
94.29	550.3	2.464
94.30	568.4	2.408
94.31	581.7	2.378
94.32	581.7	2.389
94.33	564.7	2.448
94.34	534.2	2.547
94.35	500.4	2.656
94.36	481.1	2.692
94.37	473.4	2.676
94.38	468.8	2.662
94.39	463.0	2.669
94.40	453.2	2.708
94.41	445.3	2.744
94.42	446.1	2.737
94.43	456.1	2.693
94.44	466.1	2.667
94.45	471.7	2.670
94.46	472.1	2.701
94.47	472.0	2.726
94.48	474.5	2.728
94.49	469.5	2.760
94.50	452.0	2.849
94.51	434.4	2.922
94.52	418.0	2.973
94.53	397.4	3.045
94.54	384.1	3.045
94.55	373.6	2.991
94.56	349.4	2.989
94.64	321.5	2.535
94.65	322.4	2.855
94.66	317.6	3.109
94.67	317.4	3.236
94.68	317.6	3.305
94.69	315.0	3.369
94.70	310.2	3.431
94.71	309.3	3.437
94.72	313.8	3.382
94.73	316.8	3.346
94.74	315.3	3.356
94.75	312.5	3.378
94.76	308.3	3.412
94.77	305.2	3.439
94.78	305.1	3.438
94.79	306.1	3.432
94.80	305.7	3.450
94.81	307.1	3.451
94.82	312.4	3.412
94.83	314.2	3.413
94.84	313.7	3.435
94.85	315.4	3.430
94.86	318.1	3.414
94.87	324.0	3.363
94.88	328.6	3.322
94.89	333.0	3.279
94.90	337.2	3.240
94.91	345.3	3.178
94.92	349.9	3.162
94.93	353.1	3.167
94.94	358.5	3.159
94.95	364.1	3.154
94.96	371.0	3.140
94.97	377.3	3.134
94.98	388.7	3.087
94.99	405.5	3.001
95.00	422.0	2.928
95.01	433.8	2.890
95.02	439.2	2.893
95.03	444.8	2.890
95.04	449.1	2.886
95.05	452.7	2.879
95.06	459.0	2.855
95.07	469.1	2.817
95.08	477.6	2.798
95.09	484.3	2.792
95.10	492.6	2.784
95.11	512.4	2.728
95.12	543.7	2.643
95.13	577.3	2.573
95.14	610.1	2.519
95.15	635.8	2.497
95.16	651.2	2.509
95.17	659.9	2.534
95.18	668.3	2.545
95.19	680.4	2.534
95.20	691.2	2.521
95.21	695.8	2.529
95.22	703.9	2.523
95.23	721.9	2.488
95.24	736.6	2.469
95.25	746.6	2.461
